año;fecha;titulo;cant;;;;;;
2001;31/12/2001;comercial;18.171;;;;;;
2002;30/6/2002;comercial;18.171;;;;;;
2002;30/9/2002;comercial;18.171;;;;;;
2002;31/12/2002;comercial;18.171;;;;;;
2003;31/3/2003;comercial;18.171;;;;;;
2003;30/6/2003;comercial;18.171;;;;;;
2003;30/9/2003;comercial;18.171;;;;;;
2003;31/12/2003;comercial;18.171;;;;;;
2004;31/3/2004;comercial;18.171;;;;;;
2004;30/6/2004;comercial;18.171;;;;;;
2004;30/9/2004;comercial;18.171;;;;;;
2004;31/12/2004;comercial;18.171;;;;;;
2005;31/3/2005;comercial;18.171;;;;;;
2005;30/6/2005;comercial;18.171;;;;;;
2005;30/9/2005;comercial;18.171;;;;;;
2005;31/12/2005;comercial;18.171;;;;;;
2006;31/3/2006;comercial;18.171;;;;;;
2006;30/6/2006;comercial;18.171;;;;;;
2006;30/9/2006;comercial;18.171;;;;;;
2006;31/12/2006;comercial;18.171;;;;;;
2007;31/3/2007;comercial;18.171;;;;;;
2007;30/6/2007;comercial;18.171;;;;;;
2007;30/9/2007;comercial;18.171;;;;;;
2007;31/12/2007;comercial;18.171;;;;;;
2008;31/3/2008;comercial;18.171;;;;;;
2008;30/6/2008;comercial;18.171;;;;;;
2008;30/9/2008;comercial;18.171;;;;;;
2008;31/12/2008;comercial;18.171;;;;;;
2009;31/3/2009;comercial;18.171;;;;;;
2009;30/6/2009;comercial;18.171;;;;;;
2009;30/9/2009;comercial;18.171;;;;;;
2009;31/12/2009;comercial;18.171;;;;;;
2010;31/3/2010;comercial;18.171;;;;;;
2010;30/6/2010;comercial;18.171;;;;;;
2010;30/9/2010;comercial;18.171;;;;;;
2010;31/12/2010;comercial;18.171;;;;;;
2011;31/3/2011;comercial;18.171;;;;;;
2011;30/6/2011;comercial;18.171;;;;;;
2011;30/9/2011;comercial;18.171;;;;;;
2011;31/12/2011;comercial;18.171;;;;;;
2012;31/3/2012;comercial;18.171;;;;;;
2012;30/6/2012;comercial;18.171;;;;;;
2012;30/9/2012;comercial;18.171;;;;;;
2012;31/12/2012;comercial;18.171;;;;;;
2013;31/3/2013;comercial;18.171;;;;;;
2013;30/6/2013;comercial;18.171;;;;;;
2013;30/9/2013;comercial;18.171;;;;;;
2013;31/12/2013;comercial;18.171;;;;;;
2014;31/3/2014;comercial;18.171;;;;;;
2014;30/6/2014;comercial;18.171;;;;;;
2014;30/9/2014;comercial;18.171;;;;;;
2014;31/12/2014;comercial;18.171;;;;;;
2015;31/3/2015;comercial;18.171;;;;;;
2015;30/6/2015;comercial;18.171;;;;;;
2015;30/9/2015;comercial;18.171;;;;;;
2015;31/12/2015;comercial;18.171;;;;;;
2016;31/3/2016;comercial;18.171;;;;;;
2016;30/6/2016;comercial;18.171;;;;;;
2016;30/9/2016;comercial;18.171;;;;;;
2016;31/12/2016;comercial;18.171;;;;;;
2017;31/3/2017;comercial;18.171;;;;;;
2017;30/6/2017;comercial;18.171;;;;;;
2001;31/12/2001;financiera;60.906;;;;;;
2002;30/6/2002;financiera;60.906;;;;;;
2002;30/9/2002;financiera;60.906;;;;;;
2002;31/12/2002;financiera;60.906;;;;;;
2003;31/3/2003;financiera;60.906;;;;;;
2003;30/6/2003;financiera;60.906;;;;;;
2003;30/9/2003;financiera;60.906;;;;;;
2003;31/12/2003;financiera;60.906;;;;;;
2004;31/3/2004;financiera;60.906;;;;;;
2004;30/6/2004;financiera;60.906;;;;;;
2004;30/9/2004;financiera;60.906;;;;;;
2004;31/12/2004;financiera;60.906;;;;;;
2005;31/3/2005;financiera;60.906;;;;;;
2005;30/6/2005;financiera;60.906;;;;;;
2005;30/9/2005;financiera;60.906;;;;;;
2005;31/12/2005;financiera;60.906;;;;;;
2006;31/3/2006;financiera;60.906;;;;;;
2006;30/6/2006;financiera;60.906;;;;;;
2006;30/9/2006;financiera;60.906;;;;;;
2006;31/12/2006;financiera;60.906;;;;;;
2007;31/3/2007;financiera;60.906;;;;;;
2007;30/6/2007;financiera;60.906;;;;;;
2007;30/9/2007;financiera;60.906;;;;;;
2007;31/12/2007;financiera;60.906;;;;;;
2008;31/3/2008;financiera;60.906;;;;;;
2008;30/6/2008;financiera;60.906;;;;;;
2008;30/9/2008;financiera;60.906;;;;;;
2008;31/12/2008;financiera;60.906;;;;;;
2009;31/3/2009;financiera;60.906;;;;;;
2009;30/6/2009;financiera;60.906;;;;;;
2009;30/9/2009;financiera;60.906;;;;;;
2009;31/12/2009;financiera;60.906;;;;;;
2010;31/3/2010;financiera;60.906;;;;;;
2010;30/6/2010;financiera;60.906;;;;;;
2010;30/9/2010;financiera;60.906;;;;;;
2010;31/12/2010;financiera;60.906;;;;;;
2011;31/3/2011;financiera;60.906;;;;;;
2011;30/6/2011;financiera;60.906;;;;;;
2011;30/9/2011;financiera;60.906;;;;;;
2011;31/12/2011;financiera;60.906;;;;;;
2012;31/3/2012;financiera;60.906;;;;;;
2012;30/6/2012;financiera;60.906;;;;;;
2012;30/9/2012;financiera;60.906;;;;;;
2012;31/12/2012;financiera;60.906;;;;;;
2013;31/3/2013;financiera;60.906;;;;;;
2013;30/6/2013;financiera;60.906;;;;;;
2013;30/9/2013;financiera;60.906;;;;;;
2013;31/12/2013;financiera;60.906;;;;;;
2014;31/3/2014;financiera;60.906;;;;;;
2014;30/6/2014;financiera;60.906;;;;;;
2014;30/9/2014;financiera;60.906;;;;;;
2014;31/12/2014;financiera;60.906;;;;;;
2015;31/3/2015;financiera;60.906;;;;;;
2015;30/6/2015;financiera;60.906;;;;;;
2015;30/9/2015;financiera;60.906;;;;;;
2015;31/12/2015;financiera;60.906;;;;;;
2016;31/3/2016;financiera;60.906;;;;;;
2016;30/6/2016;financiera;60.906;;;;;;
2016;30/9/2016;financiera;60.906;;;;;;
2016;31/12/2016;financiera;60.906;;;;;;
2017;31/3/2017;financiera;60.906;;;;;;
2017;30/6/2017;financiera;60.906;;;;;;
